Feature,Score,P_value
Feature_19320,33.366573,8.53028e-09
Feature_19992,33.36655,8.530379e-09
Feature_19640,33.366432,8.5308915e-09
Feature_19950,33.366432,8.5308915e-09
Feature_19908,33.366356,8.531222e-09
Feature_19278,33.36633,8.531337e-09
Feature_19220,33.366196,8.531916e-09
Feature_19698,33.36508,8.536743e-09
Feature_19362,33.364788,8.538016e-09
Feature_19404,33.364704,8.53838e-09
Feature_19262,33.3647,8.538396e-09
Feature_19740,33.36461,8.538793e-09
Feature_19556,33.364563,8.538992e-09
Feature_19866,33.364532,8.539124e-09
Feature_20018,33.364494,8.539289e-09
Feature_19236,33.364483,8.539339e-09
Feature_19824,33.364468,8.539405e-09
Feature_19682,33.36433,8.540001e-09
Feature_19488,33.36415,8.540778e-09
Feature_19194,33.362995,8.545792e-09
Feature_19782,33.36272,8.546984e-09
Feature_19724,33.362694,8.5471e-09
Feature_19976,33.362255,8.549003e-09
Feature_19808,33.362022,8.550014e-09
Feature_19850,33.361214,8.553525e-09
Feature_19934,33.360893,8.554917e-09
Feature_19766,33.360645,8.555994e-09
Feature_19892,33.360596,8.55621e-09
Feature_19622,33.35887,8.5637035e-09
Feature_19748,33.358753,8.564218e-09
Feature_19664,33.356773,8.572831e-09
Feature_19706,33.356377,8.574559e-09
Feature_19580,33.355145,8.579924e-09
Feature_19412,33.355125,8.580008e-09
Feature_19286,33.355007,8.580523e-09
Feature_19202,33.354515,8.582667e-09
Feature_19538,33.35408,8.584562e-09
Feature_19454,33.35266,8.59075e-09
Feature_19370,33.35185,8.594295e-09
Feature_19496,33.351723,8.594845e-09
Feature_19328,33.351517,8.595744e-09
Feature_19244,33.350082,8.602006e-09
Feature_19280,33.345978,8.619953e-09
Feature_19532,33.345016,8.624161e-09
Feature_19284,33.344658,8.625731e-09
Feature_19998,33.34463,8.6258485e-09
Feature_20040,33.344593,8.6260155e-09
Feature_19242,33.344414,8.626801e-09
Feature_19574,33.34437,8.6269845e-09
Feature_19238,33.343327,8.631564e-09
